,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH
,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI
Geography,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status
Canada 20000 (  4.3%),4112645,254010,1754990,1069570,652880,381195,4958110,26145,591255,1102255,1333865,1904590,2126270,4890,109095,287835,505475,1218980,1951000,1790,41590,145345,340155,1422120,1207540,755,15625,76440,200580,914145
Division No.  1 (1001) 00000 (  4.2%),32160,2485,14635,7630,4570,2830,44070,320,5890,9790,11215,16855,18800,35,960,2195,4070,11540,14970,15,310,795,2050,11795,5245,0,100,320,690,4130
Division No.  2 (1002) 00000 (  2.8%),2450,120,1295,530,315,185,4025,0,190,1195,1055,1575,1330,0,60,100,235,935,710,0,0,35,35,640,320,0,0,0,50,270
Division No.  3 (1003) 00000 (  3.1%),1485,60,875,315,170,65,2890,0,110,815,815,1145,905,0,20,90,155,635,545,0,0,0,60,470,130,0,0,0,25,100
Division No.  4 (1004) 00000 (  4.2%),3100,125,1345,765,535,325,3750,0,215,840,885,1795,1215,0,20,115,225,855,710,0,0,55,105,540,310,0,0,0,35,255
Division No.  5 (1005) 00000 (  4.4%),5045,270,2420,1315,630,415,7355,30,585,1840,2005,2900,2795,0,110,295,545,1840,1815,0,0,75,230,1495,715,0,0,0,95,595
Division No.  6 (1006) 00000 (  3.0%),4415,335,1925,1130,565,460,6975,30,600,1785,1865,2690,2535,0,155,265,570,1545,1785,0,25,80,285,1395,615,0,15,60,95,445
Division No.  7 (1007) 00000 (  4.6%),3905,200,1945,990,505,270,6830,15,320,1985,1845,2660,2080,0,60,210,390,1420,1430,0,0,70,160,1200,520,0,0,25,55,440
