,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing
,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 20% or under of area median household income (AMHI),  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 21% to 50% of AMHI,  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,  Households with household income 121% and over of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 20% or under of area median household income (AMHI),  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 21% to 50% of AMHI,  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,  Households with household income 121% and over of AMHI,  Households with household income 121% and over of AMHI
Geography,Total - Private Households by core housing need status  ,  Households examined for core housing need status,    Households in core housing need status,Total - Private Households by core housing need status  ,  Households examined for core housing need status,    Households in core housing need status,Total - Private Households by core housing need status  ,  Households examined for core housing need status,    Households in core housing need status,Total - Private Households by core housing need status  ,  Households examined for core housing need status,    Households in core housing need status,Total - Private Households by core housing need status  ,  Households examined for core housing need status,    Households in core housing need status,Total - Private Households by core housing need status  ,  Households examined for core housing need status,    Households in core housing need status,Total - Private Households by core housing need status  ,  Households examined for core housing need status,    Households in core housing need status,Total - Private Households by core housing need status  ,  Households examined for core housing need status,    Households in core housing need status,Total - Private Households by core housing need status  ,  Households examined for core housing need status,    Households in core housing need status,Total - Private Households by core housing need status  ,  Households examined for core housing need status,    Households in core housing need status,Total - Private Households by core housing need status  ,  Households examined for core housing need status,    Households in core housing need status,Total - Private Households by core housing need status  ,  Households examined for core housing need status,    Households in core housing need status
Canada 20000 (  4.3%),576625,564345,164100,88270,79090,34680,306680,303750,104895,94300,94155,19870,52915,52895,3685,34465,34465,975,4323305,4160820,779070,254110,128295,102450,1172800,1138410,513335,1085840,1083885,149345,945365,945055,13680,865185,865175,260
Division No.  1 (1001) 00000 (  4.2%),5825,5570,1910,1150,910,660,3230,3220,1195,955,955,55,325,325,0,160,160,0,25300,24665,4670,1580,1055,840,7740,7640,3720,6785,6780,110,5435,5435,0,3760,3760,0
Division No.  2 (1002) 00000 (  2.8%),380,370,120,50,50,25,170,170,85,80,80,0,55,55,0,0,0,0,1000,985,190,35,20,0,340,340,160,245,245,15,190,190,0,190,190,0
Division No.  3 (1003) 00000 (  3.1%),95,95,30,0,0,0,50,50,25,20,20,0,15,15,0,0,0,0,620,610,100,25,15,15,200,200,70,135,135,0,140,140,0,125,125,0
Division No.  4 (1004) 00000 (  4.2%),575,565,175,70,55,45,280,280,130,105,105,0,100,100,0,25,25,0,1985,1950,440,30,15,15,545,525,325,540,540,95,445,445,0,425,425,0
Division No.  5 (1005) 00000 (  4.4%),1200,1145,310,160,120,65,630,610,225,305,305,0,95,95,0,20,20,0,3620,3550,475,120,65,45,1065,1050,415,1000,995,20,800,800,0,640,640,0
Division No.  6 (1006) 00000 (  3.0%),1005,990,270,130,120,70,490,490,195,270,270,0,50,50,0,65,65,0,3890,3815,595,175,115,95,1080,1070,485,1100,1100,0,885,885,0,645,645,0
Division No.  7 (1007) 00000 (  4.6%),370,365,150,30,30,30,210,205,105,100,100,0,20,20,0,0,0,0,2155,2140,515,45,30,25,660,660,440,535,535,45,455,455,0,465,465,0
