Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
Canada (1) 20000 ( 4.3%),Canada,84000,16800,42000,67200,100800,"<= $16,800","$16,800 - $42,000","$42,000 - $67,200","$67,200 - $100,800",">= $100,801",2100,420,1050,1680,2520,<= $420,"$420 - $1,050","$1,050 - $1,680","$1,680 - $2,520",">= $2,521"
Division No.  1 (1001) 00000 (  4.2%),"Division No.1 (CD, NL)",79000,15800,39500,63200,94800,"<= $15,800","$15,800 - $39,500","$39,500 - $63,200","$63,200 - $94,800",">= $94,801",1975,395,987.5,1580,2370,<= $395,$395 - $988,"$988 - $1,580","$1,580 - $2,370",">= $2,371"
Division No.  2 (1002) 00000 (  2.8%),"Division No.2 (CD, NL)",60800,12160,30400,48640,72960,"<= $12,160","$12,160 - $30,400","$30,400 - $48,640","$48,640 - $72,960",">= $72,961",1520,304,760,1216,1824,<= $304,$304 - $760,"$760 - $1,216","$1,216 - $1,824",">= $1,825"
Division No.  3 (1003) 00000 (  3.1%),"Division No.3 (CD, NL)",60800,12160,30400,48640,72960,"<= $12,160","$12,160 - $30,400","$30,400 - $48,640","$48,640 - $72,960",">= $72,961",1520,304,760,1216,1824,<= $304,$304 - $760,"$760 - $1,216","$1,216 - $1,824",">= $1,825"
Division No.  4 (1004) 00000 (  4.2%),"Division No.4 (CD, NL)",51200,10240,25600,40960,61440,"<= $10,240","$10,240 - $25,600","$25,600 - $40,960","$40,960 - $61,440",">= $61,441",1280,256,640,1024,1536,<= $256,$256 - $640,"$640 - $1,024","$1,024 - $1,536",">= $1,537"
Division No.  5 (1005) 00000 (  4.4%),"Division No.5 (CD, NL)",67500,13500,33750,54000,81000,"<= $13,500","$13,500 - $33,750","$33,750 - $54,000","$54,000 - $81,000",">= $81,001",1687.5,337.5,843.75,1350,2025,<= $338,$338 - $844,"$844 - $1,350","$1,350 - $2,025",">= $2,026"
Division No.  6 (1006) 00000 (  3.0%),"Division No.6 (CD, NL)",67500,13500,33750,54000,81000,"<= $13,500","$13,500 - $33,750","$33,750 - $54,000","$54,000 - $81,000",">= $81,001",1687.5,337.5,843.75,1350,2025,<= $338,$338 - $844,"$844 - $1,350","$1,350 - $2,025",">= $2,026"
Division No.  7 (1007) 00000 (  4.6%),"Division No.7 (CD, NL)",60000,12000,30000,48000,72000,"<= $12,000","$12,000 - $30,000","$30,000 - $48,000","$48,000 - $72,000",">= $72,001",1500,300,750,1200,1800,<= $300,$300 - $750,"$750 - $1,200","$1,200 - $1,800",">= $1,801"
Division No.  8 (1008) 00000 (  5.2%),"Division No.8 (CD, NL)",57600,11520,28800,46080,69120,"<= $11,520","$11,520 - $28,800","$28,800 - $46,080","$46,080 - $69,120",">= $69,121",1440,288,720,1152,1728,<= $288,$288 - $720,"$720 - $1,152","$1,152 - $1,728",">= $1,729"
Division No.  9 (1009) 00000 (  5.9%),"Division No.9 (CD, NL)",65000,13000,32500,52000,78000,"<= $13,000","$13,000 - $32,500","$32,500 - $52,000","$52,000 - $78,000",">= $78,001",1625,325,812.5,1300,1950,<= $325,$325 - $813,"$813 - $1,300","$1,300 - $1,950",">= $1,951"
Division No. 10 (1010) 00000 (  4.3%),"Division No. 10 (CD, NL)",118000,23600,59000,94400,141600,"<= $23,600","$23,600 - $59,000","$59,000 - $94,400","$94,400 - $141,600",">= $141,601",2950,590,1475,2360,3540,<= $590,"$590 - $1,475","$1,475 - $2,360","$2,360 - $3,540",">= $3,541"
Division No. 11 (1011) 02020 ( 23.8%),"Division No. 11 (CD, NL)",77500,15500,38750,62000,93000,"<= $15,500","$15,500 - $38,750","$38,750 - $62,000","$62,000 - $93,000",">= $93,001",1937.5,387.5,968.75,1550,2325,<= $388,$388 - $969,"$969 - $1,550","$1,550 - $2,325",">= $2,326"
Kings (1101) 00000 (  4.7%),"Kings (CD, PEI)",68000,13600,34000,54400,81600,"<= $13,600","$13,600 - $34,000","$34,000 - $54,400","$54,400 - $81,600",">= $81,601",1700,340,850,1360,2040,<= $340,$340 - $850,"$850 - $1,360","$1,360 - $2,040",">= $2,041"
Queens (1102) 00000 (  3.2%),"Queens (CD, PEI)",77500,15500,38750,62000,93000,"<= $15,500","$15,500 - $38,750","$38,750 - $62,000","$62,000 - $93,000",">= $93,001",1937.5,387.5,968.75,1550,2325,<= $388,$388 - $969,"$969 - $1,550","$1,550 - $2,325",">= $2,326"
Prince (1103) 00000 (  2.6%),"Prince (CD, PEI)",69500,13900,34750,55600,83400,"<= $13,900","$13,900 - $34,750","$34,750 - $55,600","$55,600 - $83,400",">= $83,401",1737.5,347.5,868.75,1390,2085,<= $348,$348 - $869,"$869 - $1,390","$1,390 - $2,085",">= $2,086"
Shelburne (1201) 00000 (  4.0%),"Shelburne (CD, NS)",63200,12640,31600,50560,75840,"<= $12,640","$12,640 - $31,600","$31,600 - $50,560","$50,560 - $75,840",">= $75,841",1580,316,790,1264,1896,<= $316,$316 - $790,"$790 - $1,264","$1,264 - $1,896",">= $1,897"
Yarmouth (1202) 00000 (  3.6%),"Yarmouth (CD, NS)",62800,12560,31400,50240,75360,"<= $12,560","$12,560 - $31,400","$31,400 - $50,240","$50,240 - $75,360",">= $75,361",1570,314,785,1256,1884,<= $314,$314 - $785,"$785 - $1,256","$1,256 - $1,884",">= $1,885"
Digby (1203) 00000 (  5.1%),"Digby (CD, NS)",55600,11120,27800,44480,66720,"<= $11,120","$11,120 - $27,800","$27,800 - $44,480","$44,480 - $66,720",">= $66,721",1390,278,695,1112,1668,<= $278,$278 - $695,"$695 - $1,112","$1,112 - $1,668",">= $1,669"
Queens (1204) 00000 (  9.0%),"Queens (CD, NS)",56800,11360,28400,45440,68160,"<= $11,360","$11,360 - $28,400","$28,400 - $45,440","$45,440 - $68,160",">= $68,161",1420,284,710,1136,1704,<= $284,$284 - $710,"$710 - $1,136","$1,136 - $1,704",">= $1,705"
Annapolis (1205) 00000 (  4.0%),"Annapolis (CD, NS)",56800,11360,28400,45440,68160,"<= $11,360","$11,360 - $28,400","$28,400 - $45,440","$45,440 - $68,160",">= $68,161",1420,284,710,1136,1704,<= $284,$284 - $710,"$710 - $1,136","$1,136 - $1,704",">= $1,705"
Lunenburg (1206) 00000 (  5.0%),"Lunenburg (CD, NS)",65500,13100,32750,52400,78600,"<= $13,100","$13,100 - $32,750","$32,750 - $52,400","$52,400 - $78,600",">= $78,601",1637.5,327.5,818.75,1310,1965,<= $328,$328 - $819,"$819 - $1,310","$1,310 - $1,965",">= $1,966"
Kings (1207) 00000 (  2.7%),"Kings (CD, NS)",68000,13600,34000,54400,81600,"<= $13,600","$13,600 - $34,000","$34,000 - $54,400","$54,400 - $81,600",">= $81,601",1700,340,850,1360,2040,<= $340,$340 - $850,"$850 - $1,360","$1,360 - $2,040",">= $2,041"
Hants (1208) 00000 (  3.4%),"Hants (CD, NS)",77500,15500,38750,62000,93000,"<= $15,500","$15,500 - $38,750","$38,750 - $62,000","$62,000 - $93,000",">= $93,001",1937.5,387.5,968.75,1550,2325,<= $388,$388 - $969,"$969 - $1,550","$1,550 - $2,325",">= $2,326"
Halifax (1209) 00000 (  3.6%),"Halifax (CD, NS)",81000,16200,40500,64800,97200,"<= $16,200","$16,200 - $40,500","$40,500 - $64,800","$64,800 - $97,200",">= $97,201",2025,405,1012.5,1620,2430,<= $405,"$405 - $1,013","$1,013 - $1,620","$1,620 - $2,430",">= $2,431"
Colchester (1210) 00000 (  2.7%),"Colchester (CD, NS)",66000,13200,33000,52800,79200,"<= $13,200","$13,200 - $33,000","$33,000 - $52,800","$52,800 - $79,200",">= $79,201",1650,330,825,1320,1980,<= $330,$330 - $825,"$825 - $1,320","$1,320 - $1,980",">= $1,981"
Cumberland (1211) 00000 (  5.1%),"Cumberland (CD, NS)",58400,11680,29200,46720,70080,"<= $11,680","$11,680 - $29,200","$29,200 - $46,720","$46,720 - $70,080",">= $70,081",1460,292,730,1168,1752,<= $292,$292 - $730,"$730 - $1,168","$1,168 - $1,752",">= $1,753"
Pictou (1212) 00000 (  3.9%),"Pictou (CD, NS)",64000,12800,32000,51200,76800,"<= $12,800","$12,800 - $32,000","$32,000 - $51,200","$51,200 - $76,800",">= $76,801",1600,320,800,1280,1920,<= $320,$320 - $800,"$800 - $1,280","$1,280 - $1,920",">= $1,921"
