Geography,Aboriginal household status-Total - Private households by tenure including presence of mortgage payments and subsidized housing-Households with income 20% or under of area median household income (AMHI)-Households examined for core housing need,Aboriginal household status-Total - Private households by tenure including presence of mortgage payments and subsidized housing-Households with income 20% or under of area median household income (AMHI)-Households in core housing need,Aboriginal household status-Total - Private households by tenure including presence of mortgage payments and subsidized housing-Households with income 21% to 50% of AMHI-Households examined for core housing need,Aboriginal household status-Total - Private households by tenure including presence of mortgage payments and subsidized housing-Households with income 21% to 50% of AMHI-Households in core housing need,Aboriginal household status-Total - Private households by tenure including presence of mortgage payments and subsidized housing-Households with income 51% to 80% of AMHI-Households examined for core housing need,Aboriginal household status-Total - Private households by tenure including presence of mortgage payments and subsidized housing-Households with income 51% to 80% of AMHI-Households in core housing need,Aboriginal household status-Total - Private households by tenure including presence of mortgage payments and subsidized housing-Households with income 81% to 120% of AMHI-Households examined for core housing need,Aboriginal household status-Total - Private households by tenure including presence of mortgage payments and subsidized housing-Households with income 81% to 120% of AMHI-Households in core housing need,Aboriginal household status-Total - Private households by tenure including presence of mortgage payments and subsidized housing-Households with income 121% or more of AMHI-Households examined for core housing need,Aboriginal household status-Total - Private households by tenure including presence of mortgage payments and subsidized housing-Households with income 121% or more of AMHI-Households in core housing need,Aboriginal household status-1 person-Households with income 20% or under of area median household income (AMHI)-Households examined for core housing need,Aboriginal household status-1 person-Households with income 20% or under of area median household income (AMHI)-Households in core housing need,Aboriginal household status-1 person-Households with income 21% to 50% of AMHI-Households examined for core housing need,Aboriginal household status-1 person-Households with income 21% to 50% of AMHI-Households in core housing need,Aboriginal household status-1 person-Households with income 51% to 80% of AMHI-Households examined for core housing need,Aboriginal household status-1 person-Households with income 51% to 80% of AMHI-Households in core housing need,Aboriginal household status-1 person-Households with income 81% to 120% of AMHI-Households examined for core housing need,Aboriginal household status-1 person-Households with income 81% to 120% of AMHI-Households in core housing need,Aboriginal household status-1 person-Households with income 121% or more of AMHI-Households examined for core housing need,Aboriginal household status-1 person-Households with income 121% or more of AMHI-Households in core housing need,Aboriginal household status-2 persons-Households with income 20% or under of area median household income (AMHI)-Households examined for core housing need,Aboriginal household status-2 persons-Households with income 20% or under of area median household income (AMHI)-Households in core housing need,Aboriginal household status-2 persons-Households with income 21% to 50% of AMHI-Households examined for core housing need,Aboriginal household status-2 persons-Households with income 21% to 50% of AMHI-Households in core housing need,Aboriginal household status-2 persons-Households with income 51% to 80% of AMHI-Households examined for core housing need,Aboriginal household status-2 persons-Households with income 51% to 80% of AMHI-Households in core housing need,Aboriginal household status-2 persons-Households with income 81% to 120% of AMHI-Households examined for core housing need,Aboriginal household status-2 persons-Households with income 81% to 120% of AMHI-Households in core housing need,Aboriginal household status-2 persons-Households with income 121% or more of AMHI-Households examined for core housing need,Aboriginal household status-2 persons-Households with income 121% or more of AMHI-Households in core housing need,Aboriginal household status-3 persons-Households with income 20% or under of area median household income (AMHI)-Households examined for core housing need,Aboriginal household status-3 persons-Households with income 20% or under of area median household income (AMHI)-Households in core housing need,Aboriginal household status-3 persons-Households with income 21% to 50% of AMHI-Households examined for core housing need,Aboriginal household status-3 persons-Households with income 21% to 50% of AMHI-Households in core housing need,Aboriginal household status-3 persons-Households with income 51% to 80% of AMHI-Households examined for core housing need,Aboriginal household status-3 persons-Households with income 51% to 80% of AMHI-Households in core housing need,Aboriginal household status-3 persons-Households with income 81% to 120% of AMHI-Households examined for core housing need,Aboriginal household status-3 persons-Households with income 81% to 120% of AMHI-Households in core housing need,Aboriginal household status-3 persons-Households with income 121% or more of AMHI-Households examined for core housing need,Aboriginal household status-3 persons-Households with income 121% or more of AMHI-Households in core housing need,Aboriginal household status-4 persons-Households with income 20% or under of area median household income (AMHI)-Households examined for core housing need,Aboriginal household status-4 persons-Households with income 20% or under of area median household income (AMHI)-Households in core housing need,Aboriginal household status-4 persons-Households with income 21% to 50% of AMHI-Households examined for core housing need,Aboriginal household status-4 persons-Households with income 21% to 50% of AMHI-Households in core housing need,Aboriginal household status-4 persons-Households with income 51% to 80% of AMHI-Households examined for core housing need,Aboriginal household status-4 persons-Households with income 51% to 80% of AMHI-Households in core housing need,Aboriginal household status-4 persons-Households with income 81% to 120% of AMHI-Households examined for core housing need,Aboriginal household status-4 persons-Households with income 81% to 120% of AMHI-Households in core housing need,Aboriginal household status-4 persons-Households with income 121% or more of AMHI-Households examined for core housing need,Aboriginal household status-4 persons-Households with income 121% or more of AMHI-Households in core housing need,Aboriginal household status-5 or more persons household-Households with income 20% or under of area median household income (AMHI)-Households examined for core housing need,Aboriginal household status-5 or more persons household-Households with income 20% or under of area median household income (AMHI)-Households in core housing need,Aboriginal household status-5 or more persons household-Households with income 21% to 50% of AMHI-Households examined for core housing need,Aboriginal household status-5 or more persons household-Households with income 21% to 50% of AMHI-Households in core housing need,Aboriginal household status-5 or more persons household-Households with income 51% to 80% of AMHI-Households examined for core housing need,Aboriginal household status-5 or more persons household-Households with income 51% to 80% of AMHI-Households in core housing need,Aboriginal household status-5 or more persons household-Households with income 81% to 120% of AMHI-Households examined for core housing need,Aboriginal household status-5 or more persons household-Households with income 81% to 120% of AMHI-Households in core housing need,Aboriginal household status-5 or more persons household-Households with income 121% or more of AMHI-Households examined for core housing need,Aboriginal household status-5 or more persons household-Households with income 121% or more of AMHI-Households in core housing need,Percent HH with income 20% or under of AMHI in core housing need,Percent HH with income 21% to 50% of AMHI in core housing need,Percent HH with income 51% to 80% of AMHI in core housing need,Percent HH with income 81% to 120% of AMHI in core housing need,Percent HH with income 121% or more of AMHI in core housing need,Per HH with income 20% or under of AMHI in core housing need that are 1 person HH,Per HH with income 20% or under of AMHI in core housing need that are 2 person HH,Per HH with income 20% or under of AMHI in core housing need that are 3 person HH,Per HH with income 20% or under of AMHI in core housing need that are 4 person HH,Per HH with income 20% or under of AMHI in core housing need that are 5 or more person HH,Per HH with income 21% to 50% of AMHI in core housing need that are 1 person HH,Per HH with income 21% to 50% of AMHI in core housing need that are 2 person HH,Per HH with income 21% to 50% of AMHI in core housing need that are 3 person HH,Per HH with income 21% to 50% of AMHI in core housing need that are 4 person HH,Per HH with income 21% to 50% of AMHI in core housing need that are 5 or more person HH,Per HH with income 51% to 80% of AMHI in core housing need that are 1 person HH,Per HH with income 51% to 80% of AMHI in core housing need that are 2 person HH,Per HH with income 51% to 80% of AMHI in core housing need that are 3 person HH,Per HH with income 51% to 80% of AMHI in core housing need that are 4 person HH,Per HH with income 51% to 80% of AMHI in core housing need that are 5 or more person HH,Per HH with income 81% to 120% of AMHI in core housing need that are 1 person HH,Per HH with income 81% to 120% of AMHI in core housing need that are 2 person HH,Per HH with income 81% to 120% of AMHI in core housing need that are 3 person HH,Per HH with income 81% to 120% of AMHI in core housing need that are 4 person HH,Per HH with income 81% to 120% of AMHI in core housing need that are 5 or more person HH,Per HH with income 121% or more of AMHI in core housing need that are 1 person HH,Per HH with income 121% or more of AMHI in core housing need that are 2 person HH,Per HH with income 121% or more of AMHI in core housing need that are 3 person HH,Per HH with income 121% or more of AMHI in core housing need that are 4 person HH,Per HH with income 121% or more of AMHI in core housing need that are 5 or more person HH,Percent of Total HH that are in Very Low Income,Percent of Total HH that are in Low Income,Percent of Total HH that are in Moderate Income,Percent of Total HH that are in Median Income,Percent of Total HH that are in High Income
Canada,18660,13000,131335,57075,147365,21750,161420,4125,294155,1325,15400,10495,70980,25835,35965,1330,19645,105,10195,0,2440,1835,42470,19490,68425,6500,74465,340,97285,45,515,415,11195,7070,21915,5210,30020,755,63085,90,195,160,4585,3020,12595,4545,21180,955,71840,235,110,95,2105,1650,8460,4170,16110,1985,51745,960,0.694083694,0.3665738,0.109523241,0.011623996,0.000247388,0.870450617,0.098464544,0.020063622,0.007689803,0.003331413,0.647825544,0.232743598,0.0738897,0.032023756,0.013517402,0.11280794,0.327766144,0.244462604,0.18446635,0.130496961,0.013896767,0.047646058,0.170589904,0.317356778,0.450510493,0,0.034843206,0.076655052,0.181184669,0.707317073,0.020033694,0.175022718,0.186787493,0.211273468,0.406882627
"Division No.1 (CD, NL)",135,80,545,275,850,0,940,0,2455,0,110,65,340,150,185,0,140,0,80,0,25,0,180,95,515,0,495,0,915,0,0,0,25,25,100,0,170,0,550,0,0,0,0,0,35,0,105,0,660,0,0,0,0,0,0,0,15,0,240,0,0.739965096,0.336834894,0.010612639,0,0,0.879146919,0.106635071,0.014218009,0,0,0.651052274,0.250509165,0.067209776,0.023761032,0.007467753,0,0.279069767,0.255813953,0.23255814,0.23255814,,,,,,,,,,,0.024860081,0.18998655,0.179877652,0.196147338,0.409128379
"Division No.2 (CD, NL)",0,0,15,0,35,0,35,0,90,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,40,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592592593,0.307443366,0.061662198,0,0,1,0,0,0,0,0.79787234,0.127659574,0.074468085,0,0,0.368421053,0.631578947,0,0,0,,,,,,,,,,,0.01526286,0.174674958,0.21085359,0.1910684,0.408140192
"Division No.3 (CD, NL)",0,0,40,0,105,0,160,0,280,0,0,0,40,0,30,0,0,0,0,0,0,0,0,0,75,0,120,0,95,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0.785714286,0.217821782,0.048192771,0,0,1,0,0,0,0,0.75,0.159090909,0.090909091,0,0,0,1,0,0,0,,,,,,,,,,,0.011725293,0.169179229,0.208542714,0.20519263,0.405360134
"Division No.4 (CD, NL)",35,20,660,285,910,155,885,0,2065,0,35,15,535,215,325,60,165,0,130,0,0,0,110,65,470,50,500,0,950,0,0,0,0,0,70,30,125,0,530,0,0,0,0,0,30,15,70,0,310,0,0,0,0,0,0,0,20,0,145,0,0.689655172,0.401253918,0.145658263,0,0,1,0,0,0,0,0.808,0.192,0,0,0,0.41509434,0.301886792,0.169811321,0.113207547,0,,,,,,,,,,,0.015960374,0.175564117,0.196477711,0.196477711,0.415520088
"Division No.5 (CD, NL)",70,50,730,200,995,0,1040,0,2745,0,60,50,480,110,300,0,105,0,65,0,0,0,210,65,540,0,635,0,985,0,0,0,30,25,115,0,200,0,795,0,0,0,0,0,35,0,90,0,655,0,0,0,0,0,0,0,0,0,245,0,0.677966102,0.283891547,0.016949153,0,0,1,0,0,0,0,0.681818182,0.244318182,0.073863636,0,0,0,0.571428571,0,0.428571429,0,,,,,,,,,,,0.016647856,0.176918736,0.199774266,0.197799097,0.408860045
"Division No.6 (CD, NL)",0,0,210,90,190,0,315,0,760,0,0,0,135,55,20,0,40,0,30,0,0,0,60,20,130,0,170,0,280,0,0,0,0,0,20,0,55,0,185,0,0,0,0,0,0,0,40,0,200,0,0,0,0,0,0,0,0,0,60,0,0.791666667,0.335174954,0.007518797,0,0,0.929824561,0.070175439,0,0,0,0.687150838,0.217877095,0.094972067,0,0,,,,,,,,,,,,,,,,0.022058824,0.166360294,0.203737745,0.207107843,0.400735294
"Division No.7 (CD, NL)",0,0,55,20,60,0,105,0,220,0,0,0,35,0,0,0,0,0,0,0,0,0,15,0,45,0,65,0,105,0,0,0,0,0,0,0,20,0,25,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,40,0,0.744186047,0.393548387,0.065449011,0,0,0.903225806,0.096774194,0,0,0,0.796703297,0.164835165,0.038461538,0,0,0.325,0.375,0.2,0.1,0,,,,,,,,,,,0.014556534,0.157413676,0.222410291,0.200406229,0.40521327
"Division No.8 (CD, NL)",0,0,60,25,205,25,170,0,415,0,0,0,45,20,25,0,40,0,0,0,0,0,0,0,145,0,90,0,205,0,0,0,0,0,30,0,30,0,115,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,35,0,0.634146341,0.322649573,0.089932886,0,0,0.84,0.16,0,0,0,0.835616438,0.164383562,0,0,0,0.35483871,0.532258065,0.112903226,0,0,,,,,,,,,,,0.013411842,0.153091266,0.243702977,0.180242067,0.409551848
"Division No.9 (CD, NL)",0,0,105,35,155,0,240,0,440,0,0,0,80,25,40,0,0,0,0,0,0,0,25,0,105,0,180,0,200,0,0,0,0,0,0,0,25,0,120,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,30,0,0.545454545,0.25974026,0.057553957,0,0,1,0,0,0,0,0.857142857,0.142857143,0,0,0,0,1,0,0,0,,,,,,,,,,,0.008352316,0.175398633,0.211085801,0.22095672,0.38420653
"Division No. 10 (CD, NL)",195,85,600,60,670,35,865,0,1165,0,160,60,205,20,120,10,95,0,45,0,30,15,295,25,330,10,345,0,370,0,0,0,55,10,125,15,220,0,310,0,0,0,30,10,50,0,140,0,330,0,0,0,0,0,45,0,60,10,115,0,0.44,0.074918567,0.034810127,0.005076142,0,0.8125,0.1875,0,0,0,0.318181818,0.409090909,0.136363636,0.136363636,0,0.2,0.3,0.3,0.2,0,,,,,,,,,,,0.042040359,0.172085202,0.177130045,0.220852018,0.387892377
"Division No. 11 (CD, NL)",15,15,155,50,130,60,145,45,295,10,15,10,80,25,15,10,15,0,10,0,0,0,35,10,50,20,55,10,60,0,0,0,20,0,25,10,35,10,70,0,0,0,15,10,30,15,20,10,95,0,0,0,0,0,20,10,20,10,65,0,1,0.3125,0.444444444,0.290322581,0.031746032,1,0,0,0,0,0.555555556,0.222222222,0,0.222222222,0,0.153846154,0.307692308,0.153846154,0.230769231,0.153846154,0,0.25,0.25,0.25,0.25,,,,,,0.019230769,0.205128205,0.173076923,0.198717949,0.403846154
"Kings (CD, PEI)",0,0,25,15,40,0,100,0,105,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,20,0,55,0,35,0,0,0,0,0,0,0,25,0,15,0,0,0,0,0,0,0,20,0,30,0,0,0,0,0,0,0,0,0,15,0,0.8,0.365384615,0.125412541,0,0,1,0,0,0,0,0.765957447,0.180851064,0.053191489,0,0,0.558823529,0.294117647,0.147058824,0,0,,,,,,,,,,,0.016823688,0.174966353,0.203903096,0.203903096,0.400403769
"Queens (CD, PEI)",35,25,160,60,145,0,185,0,370,0,30,25,85,25,50,0,0,0,0,0,0,0,60,20,55,0,115,0,150,0,0,0,0,0,25,0,20,0,70,0,0,0,0,0,0,0,20,0,85,0,0,0,0,0,0,0,20,0,55,0,0.720338983,0.275834011,0.017366136,0,0,0.879518072,0.120481928,0,0,0,0.633136095,0.218934911,0.088757396,0.038461538,0.020710059,0,0,0.384615385,0.307692308,0.307692308,,,,,,,,,,,0.016377516,0.170575989,0.191811242,0.223455933,0.39777932
"Prince (CD, PEI)",0,0,90,40,115,0,85,0,200,0,0,0,70,25,35,0,0,0,0,0,0,0,15,0,75,0,50,0,65,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,60,0,0.75,0.302985075,0.029294274,0,0,0.931818182,0.068181818,0,0,0,0.730392157,0.176470588,0.078431373,0.014705882,0,0.4,0.3,0.3,0,0,,,,,,,,,,,0.015665796,0.174934726,0.196083551,0.219321149,0.393994778
"Shelburne (CD, NS)",30,20,75,45,160,15,140,0,310,0,30,20,55,35,45,0,35,0,0,0,0,0,10,0,100,0,65,0,175,0,0,0,0,0,20,0,25,0,55,0,0,0,0,0,0,0,15,0,45,0,0,0,0,0,0,0,0,0,20,0,0.652173913,0.399038462,0.107913669,0,0,1,0,0,0,0,0.7125,0.2375,0.05,0,0,0.444444444,0.37037037,0.185185185,0,0,,,,,,,,,,,0.018039216,0.163137255,0.218039216,0.19372549,0.407058824
"Yarmouth (CD, NS)",35,35,280,80,430,20,500,0,1235,0,30,30,205,60,120,0,65,0,55,0,0,0,60,15,245,0,290,0,480,0,0,0,0,0,50,0,80,0,320,0,0,0,0,0,0,0,50,0,280,0,0,0,0,0,0,0,0,0,100,0,0.717391304,0.221024259,0.049676026,0,0,1,0,0,0,0,0.708860759,0.227848101,0.063291139,0,0,0.304347826,0.304347826,0.173913043,0.217391304,0,,,,,,,,,,,0.020880617,0.168406718,0.210167953,0.198365865,0.402178847
"Digby (CD, NS)",0,0,90,50,210,0,280,0,545,0,0,0,60,25,75,0,45,0,30,0,0,0,25,25,105,0,185,0,240,0,0,0,0,0,20,0,35,0,95,0,0,0,0,0,0,0,25,0,125,0,0,0,0,0,0,0,0,0,55,0,0.681818182,0.434782609,0.068767908,0,0,1,0,0,0,0,0.876190476,0.123809524,0,0,0,0.375,0.333333333,0.166666667,0.125,0,,,,,,,,,,,0.013827781,0.159019485,0.219358894,0.211816468,0.395977373
"Queens (CD, NS)",0,0,70,25,105,0,165,0,275,0,0,0,40,20,25,0,20,0,0,0,0,0,25,0,50,0,100,0,125,0,0,0,0,0,15,0,15,0,60,0,0,0,0,0,0,0,15,0,40,0,0,0,0,0,0,0,15,0,40,0,0.727272727,0.230769231,0.02955665,0,0,1,0,0,0,0,0.6875,0.3125,0,0,0,0,1,0,0,0,,,,,,,,,,,0.022426096,0.159021407,0.206931702,0.221202854,0.390417941
"Annapolis (CD, NS)",0,0,60,40,70,20,120,0,280,0,0,0,35,30,15,0,0,0,0,0,0,0,20,0,40,0,60,0,150,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,30,0,50,0,0,0,0,0,0,0,0,0,20,0,0.725,0.484076433,0.192893401,0,0,0.833333333,0.166666667,0,0,0,0.810810811,0.189189189,0,0,0,0.356164384,0.479452055,0.164383562,0,0,,,,,,,,,,,0.020887728,0.163968668,0.205744125,0.203133159,0.406266319
"Lunenburg (CD, NS)",25,20,150,80,200,30,245,0,505,0,20,20,85,40,60,0,25,0,0,0,0,0,60,40,100,0,135,0,210,0,0,0,0,0,20,0,50,0,130,0,0,0,0,0,10,0,35,0,85,0,0,0,0,0,0,0,0,0,70,0,0.695652174,0.405737705,0.093023256,0,0,0.844444444,0.155555556,0,0,0,0.790540541,0.162162162,0.040540541,0.006756757,0,0.202380952,0.428571429,0.202380952,0.107142857,0.05952381,,,,,,,,,,,0.01571754,0.166742597,0.205694761,0.212300683,0.399544419
"Kings (CD, NS)",45,35,250,100,305,0,350,0,590,0,45,35,125,35,60,0,25,0,0,0,0,0,95,35,160,0,220,0,180,0,0,0,20,0,50,0,50,0,160,0,0,0,0,0,35,0,30,0,100,0,0,0,0,0,0,0,15,0,150,0,0.739837398,0.303317536,0.01047619,0,0,0.93258427,0.06741573,0,0,0,0.66798419,0.23715415,0.083003953,0.011857708,0,0,0,1,0,0,,,,,,,,,,,0.02323385,0.159425765,0.198337741,0.221382697,0.397619947
