Geo_Code,2031 Population Growth Rate with income 20% or under of area median household income (AMHI),2031 Population Trend with income 20% or under of area median household income (AMHI),2031 Population Growth Rate with income 21% to 50% of AMHI,2031 Population Trend with income 21% to 50% of AMHI,2031 Population Growth Rate with income 51% to 80% of AMHI,2031 Population Trend with income 51% to 80% of AMHI,2031 Population Growth Rate with income 81% to 120% of AMHI,2031 Population Trend with income 81% to 120% of AMHI,2031 Population Growth Rate with income 121% or over of AMHI,2031 Population Trend with income 121% or over of AMHI,2031 Population Growth Rate 1pp HH,2031 Population Trend 1pp HH,2031 Population Growth Rate 2pp HH,2031 Population Trend 2pp HH,2031 Population Growth Rate 3pp HH,2031 Population Trend 3pp HH,2031 Population Growth Rate 4pp HH,2031 Population Trend 4pp HH,2031 Population Growth Rate 5pp HH,2031 Population Trend 5pp HH
1001,0.025430067,2937.857143,0.16148501,25430.71429,0.118806423,23192.85714,0.068758492,24159.28571,0.13864566,53687.14286,0.228500355,39508.57143,0.180070667,52005.71429,0.009954407,18987.14286,-0.040366447,14365.71429,-0.134277543,4540.714286
1002,-0.645502646,47.85714286,0.098936662,1697.857143,0.043661432,1946.428571,-0.226542688,1307.142857,0.082706767,3908.571429,0.181924198,2895.714286,0.138065661,4580.714286,-0.271750806,968.5714286,-0.581488934,297.1428571,-0.504464286,158.5714286
1003,-0.632653061,25.71428571,0.1145686,1125.714286,-0.158347676,1047.857143,-0.150437318,1040.714286,0.013577332,2452.857143,0.192400192,1770.714286,0.074641621,3105.714286,-0.382004736,559.2857143,-0.532110092,255,0,0
1004,-0.945812808,7.857142857,0.085982983,1732.142857,0.077631052,1923.571429,0.024809924,1829.285714,0.074172185,4055,0.241474654,3848.571429,0.111238095,4167.142857,-0.241034685,922.1428571,-0.382293763,438.5714286,-0.419354839,180
1005,-0.213075061,232.1428571,0.159033949,3633.571429,0.100887813,3897.142857,0.010597106,3542.142857,0.111209701,8050.714286,0.28741328,6495,0.126056133,8282.142857,-0.078200869,2576.428571,-0.209366391,1435,-0.205794206,567.8571429
1006,-0.01984127,352.8571429,0.129439621,3066.428571,0.119441461,3722.142857,0.064243449,3597.142857,0.136959371,7435.714286,0.281507847,5657.857143,0.169175627,8155,-0.065370527,2369.285714,-0.172869148,1476.428571,-0.160278746,516.4285714
1007,0,0,0.074347158,2497.857143,0.082191781,3555,-0.05453668,2798.571429,0.080677885,6467.857143,0.20559722,4707.857143,0.118385275,7638.571429,-0.209478022,1644.285714,-0.353646354,924.2857143,-0.25,390
1008,-0.947735192,10.71428571,0.090964591,2552.857143,0.070949185,3989.285714,-0.280010371,1983.571429,0.08443633,6788.571429,0.212080537,4515,0.108159213,8372.142857,-0.306684142,1511.428571,-0.558490566,585,-0.326118326,333.5714286
1009,0,0,0.056895485,1220.714286,-0.04008222,1334.285714,-0.235640648,1112.142857,0.046866177,2648.571429,0.168563,1980.714286,0.097866419,3381.428571,-0.336633663,670,-0.616149068,220.7142857,-0.763975155,54.28571429
1010,0.133333333,425,0.117263844,1715,-0.069620253,1470,0.047860769,2064.285714,0.070189926,3702.857143,0.197163611,2472.142857,0.113612455,3780.714286,-0.029084688,1621.428571,-0.141741071,1098.571429,-0.191428571,404.2857143
1011,-0.285714286,10.71428571,0.223214286,195.7142857,0.105820106,149.2857143,0.01843318,157.8571429,0.154195011,363.5714286,0.228571429,184.2857143,0.299651568,266.4285714,0.076190476,161.4285714,0.223214286,195.7142857,-0.385093168,70.71428571
1101,-0.274285714,90.71428571,0.031868132,1341.428571,0.055634135,1599.285714,-0.097123998,1367.857143,0.064345738,3166.428571,0.133888533,2528.571429,0.129958627,3316.428571,-0.139194139,839.2857143,-0.231910946,591.4285714,-0.443828017,286.4285714
1102,0.130750605,667.1428571,0.172033012,7202.142857,0.142030184,7891.428571,0.120851819,9022.857143,0.14255807,16372.85714,0.206886878,12292.14286,0.17724371,15675,0.089656061,6042.142857,0.040410418,4707.857143,-0.010495627,2424.285714
1103,-0.271428571,218.5714286,0.138166311,3812.857143,0.078371695,4049.285714,-0.010884354,4154.285714,0.073085298,8096.428571,0.187956204,6510,0.124338624,8500,-0.083532854,2460.714286,-0.186480186,1745,-0.129464286,1114.285714
1201,-0.248447205,86.42857143,0.008241758,1048.571429,0.02672148,1427.142857,-0.170040486,1025,0.031379026,2676.428571,0.134823612,2320.714286,0.074534161,2965.714286,-0.299737073,570.7142857,-0.514851485,245,-0.367346939,155
1202,-0.546583851,104.2857143,0.105506353,2050.714286,0.072817032,2483.571429,-0.122915986,1916.428571,0.055143502,4674.285714,0.169234016,3957.857143,0.085426332,4846.428571,-0.173669468,1264.285714,-0.322869955,755,-0.232492997,391.4285714
1203,-0.272727273,80,0.016939582,1286.428571,0.072861236,1872.142857,-0.153454854,1426.428571,0.037641723,3268.571429,0.13961039,3008.571429,0.073409802,3676.428571,-0.252264808,766.4285714,-0.495726496,295,-0.342857143,180.7142857
1204,-0.142857143,94.28571429,-0.001831502,778.5714286,0.074595355,1090.714286,0.021066491,1107.857143,-0.00074599,1913.571429,0.206988058,1949.285714,0.047619048,2262.857143,-0.264285714,441.4285714,-0.469924812,201.4285714,-0.089285714,145.7142857
1205,-0.364285714,127.1428571,0.000909918,1571.428571,0.106598985,2180,0.012486228,1969.285714,0.023503489,3981.428571,0.109312691,3377.857143,0.086851628,4505,-0.135086671,1033.571429,-0.276315789,550,-0.191596639,343.5714286
1206,-0.3436853,226.4285714,0.071818891,3922.857143,0.097136529,4953.571429,0.038626609,4840,0.064342727,9334.285714,0.170604812,7714.285714,0.105749487,10770,-0.113179074,2518.571429,-0.214655811,1515.714286,-0.109243697,757.1428571
1207,0.006968641,619.2857143,0.019972918,4304.285714,0.08244898,5682.857143,0.068015602,6258.571429,0.078859857,11355,0.170542636,9060,0.118981665,12118.57143,-0.057142857,3441.428571,-0.173081891,2286.428571,-0.119288119,1307.857143
1208,-0.256302521,252.8571429,0.121974371,3377.142857,0.139595564,3743.571429,0.020860495,3915,0.090093848,7467.142857,0.209785632,5280.714286,0.107654523,7731.428571,0.014953271,2715,-0.061450744,2116.428571,-0.133333333,910
1209,-0.332460206,2366.428571,0.093779625,32140.71429,0.107920555,39685.71429,0.141899772,46857.85714,0.102546534,82757.14286,0.144324122,61290,0.135815969,79387.85714,0.058736563,30179.28571,-0.009557793,22205.71429,0.028380407,10767.14286
1210,0.033287101,532.1428571,0.054719562,3855,0.09403255,4753.571429,-0.016558784,4666.428571,0.077601411,9601.428571,0.152531906,7998.571429,0.099148321,9771.428571,-0.054761905,2835.714286,-0.179610099,1833.571429,-0.125404008,966.4285714
1211,-0.062953995,276.4285714,0.075483468,2462.857143,0.017789757,2697.142857,-0.027619048,2917.142857,-0.001040853,5484.285714,0.116459627,5135.714286,0.044208665,5905,-0.11525974,1557.142857,-0.323473883,767.8571429,-0.18226601,474.2857143
1212,-0.110714286,355.7142857,-0.069697669,2879.285714,0.043006731,3984.285714,0.035756057,4427.857143,-0.004699248,7564.285714,0.108058608,6914.285714,0.052087323,7848.571429,-0.119402985,2360,-0.249904762,1406.428571,-0.268817204,680
1213,-0.214285714,47.14285714,-0.022148394,630.7142857,-0.063706564,692.8571429,-0.183982684,538.5714286,-0.082205514,1307.857143,0.061482821,1257.857143,-0.002712477,1575.714286,-0.405063291,235,-0.544973545,122.8571429,-0.535714286,55.71428571
1214,-0.767857143,37.14285714,0.222014052,1863.571429,0.133511348,1819.285714,0.022998673,1652.142857,0.120607195,3849.285714,0.220551378,3130.714286,0.167643082,3701.428571,0.00768738,1123.571429,-0.12223071,820.7142857,-0.193877551,451.4285714
